"Year","Journal","COUNTRY","Urb.scale","Year.start","Year.end","Comparator","Forest_Comp1","Forest_Comp2","Forest_Comp3","Forest_Comp4","Forest_Comp5","Rec.included","Rec1","Rec2","Rec3","journal.count"
2021,"Environmental Science and Pollution Research","China","Patch","2019","2019","N","Land use type"," Composition",NA,NA,NA,"N","N/A","N/A","N/A",2
2020,"Journal of Cleaner Production","Italy","Multi-Patch","2016","2016","N","Land use type"," Composition"," Forested area"," Canopy cover",NA,"N","N/A","N/A","N/A",1
2014,"New Zealand Ecological Society","New Zealand","Patch","2010","2010","Y","Composition"," Native species",NA,NA,NA,"Y","Management","N/A","N/A",1
2020,"Forests","Italy","Multi-Patch","2018","2018","Y","Composition"," Land use type",NA,NA,NA,"N","N/A","N/A","N/A",1
2020,"Sustainability","China","Multi-Patch","2018","2018","N","Forested area"," Land use type",NA,NA,NA,"Y","Management","N/A","N/A",2
2013,"Landscape and Urban Planning","Italy","Multi-Patch","2005","2005","N","Land use type"," Composition"," Fragmentation",NA,NA,"N","N/A","N/A","N/A",2
2021,"Forests","China","Multi-Patch","2018","2018","N","Land use type"," Canopy cover",NA,NA,NA,"Y","Management","N/A","N/A",2
2021,"Ambio","France","Multi-Patch","2013","2013","N","Land use type"," Canopy cover",NA,NA,NA,"Y","Management","N/A","N/A",1
2022,"Forests","Japan","Multi-Patch","2019","2019","N","Land use type"," Canopy cover"," Composition",NA,NA,"Y","Management","N/A","N/A",2
2016,"Sustainability","USA","Patch","2014","2015","N","Composition"," Land use type"," Canopy cover",NA,NA,"Y","Management","N/A","N/A",3
2018,"Environmental Earth Sciences","Oman","Multi-Patch","2014","2017","N","Composition"," Land use type",NA,NA,NA,"N","N/A","N/A","N/A",1
2016,"Urban Forestry & Urban Greening","Italy","Patch","1995","2014","N","Canopy cover"," Composition"," Land use type",NA,NA,"Y","Management","N/A","N/A",3
2018,"Forests","USA","Multi-Patch","2016","2016","N","Canopy cover"," Land use type"," Forested area"," Composition",NA,"Y","Management","N/A","N/A",1
2012,"Landscape and Urban Planning","Germany","Patch","N/A","N/A","Y","Individual tree management",NA,NA,NA,NA,"Y","Management","N/A","N/A",2
2012,"Forest Policy and Economics","Taiwan","Multi-Patch","N/A","N/A","N","Land use type"," Forested area"," Canopy cover"," Composition",NA,"N","N/A","N/A","N/A",1
2009,"Australian Geographer","Australia","Multi-Patch","N/A","N/A","N","Canopy cover"," Land use type",NA,NA,NA,"Y","Management","N/A","N/A",1
2011,"Journal of Applied Ecology","United Kingdom","Multi-Patch","2009","2009","N","Forested area"," Composition"," Land use type"," Canopy cover",NA,"Y","Management","Restoration","N/A",2
2020,"Landscape and Ecological Engineering","Iran","Multi-Patch","N/A","N/A","N","Forested area"," Land use type"," Composition"," Canopy cover",NA,"Y","Management","N/A","N/A",1
2021,"International Journal of Geo-Information","China","Multi-Patch","2019","2019","N","Land use type",NA,NA,NA,NA,"N","N/A","N/A","N/A",1
2020,"Urban Forestry & Urban Greening","Finland","Multi-Patch","2011","2013","N","Land use type"," Composition",NA,NA,NA,"Y","Management","N/A","N/A",2
2021,"Climate","Georgia","Patch","2019","2019","N","Composition"," Land use type",NA,NA,NA,"N","N/A","N/A","N/A",1
2017,"Sustainability","China","Multi-Patch","2012","2012","N","Composition"," Land use type"," Forested area"," Canopy cover",NA,"Y","Management","N/A","N/A",2
2021,"Environmental Monitoring and Assessment","India","Patch","2020","2020","N","Land use type"," Composition",NA,NA,NA,"Y","Management","N/A","N/A",1
2019,"Urban Ecosystems","Iran","Multi-Patch","2017","2017","N","Canopy cover"," Forested area"," Land use type"," Composition",NA,"Y","Management","N/A","N/A",1
2010,"Environmental Science & Policy","USA","Region","2008","2008","Y","Land use type"," Composition",NA,NA,NA,"Y","Management","N/A","N/A",2
2017,"Fresenius Environmental Bulletin","Turkey","Patch","2015","2016","N","Composition"," Land use type",NA,NA,NA,"N","N/A","N/A","N/A",1
2022,"Sustainability","Italy","Multi-Patch","2019","2019","N","Canopy cover"," Composition"," Forested area"," Land use type",NA,"N","N/A","N/A","N/A",3
2021,"Urban Forestry & Urban Greening","China","Patch","2017","2017","N","Canopy cover"," Composition",NA,NA,NA,"Y","Management","N/A","N/A",2
2015,"Aerosol and Air Quality Research","Taiwan","Region","2010","2011","N","Composition",NA,NA,NA,NA,"N","N/A","N/A","N/A",1
2021,"Forests","Korea","Multi-City","N/A","N/A","N","Composition",NA,NA,NA,NA,"Y","Management","N/A","N/A",1
2021,"Urban Forestry & Urban Greening","Canada","Multi-Patch","2018","2018","N","Composition",NA,NA,NA,NA,"Y","Management","N/A","N/A",1
2018,"Environmental Research","Almada","Patch","N/A","N/A","N","Composition",NA,NA,NA,NA,"N","N/A","N/A","N/A",1
2021,"Agronomy","Spain","Multi-Patch","N/A","N/A","N","Native species"," Composition"," Land use type",NA,NA,"Y","Restoration","Management","N/A",1
2013,"Atmospheric Pollution Research","Italy","Patch","2011","2011","N","Composition",NA,NA,NA,NA,"Y","Management","N/A","N/A",1
2010,"Journal of Environmental Management","China","Multi-Patch","1991","1996","N","Composition",NA,NA,NA,NA,"Y","Management","N/A","N/A",3
2007,"Landscape and Urban Planning","Italy","Multi-Patch","2005","2005","Y","Land use type"," Individual tree management",NA,NA,NA,"Y","Management","N/A","N/A",2
2019,"Journal of Environmental Management","China","Region","N/A","N/A","N","Composition",NA,NA,NA,NA,"Y","Management","N/A","N/A",3
2017,"Carbon Management","USA","Region","N/A","N/A","N","Composition"," Native species",NA,NA,NA,"Y","Management","Restoration","N/A",1
2014,"Landscape and Urban Planning","USA","Patch","2010","2011","N","Composition",NA,NA,NA,NA,"N","N/A","N/A","N/A",7
2019,"Sustainability","Korea","Multi-Patch","N/A","N/A","N","Composition"," Land use type",NA,NA,NA,"Y","Management","N/A","N/A",1
2019,"Polish Journal of Environmental Studies","China","Patch","N/A","N/A","N","Composition",NA,NA,NA,NA,"Y","Management","N/A","N/A",1
2022,"Science of The Total Environment","South Africa","Patch","2020","2020","N","Composition"," Native species",NA,NA,NA,"Y","Management","N/A","N/A",1
